Plasmid_name_filename,Plasmid,ENT_ID,Deidentified_ENT_ID,Hospital,Date_of_culture,Lab_Species,Genomic_Species_Illumina,Genomic_Species_Hybrid,ST_Illumina,ST_Hybrid,CP_Gene,Clonal_cluster,Length,Inc_group_MOBtyper,Inc_group_regrouped,Relaxase_type_corrected,Sample_type,Plasmid_Clusters,PID,Plasmid_Clusters_renamed,Final_Species,Final_ST
batch27_13022020_ENT843_Ctg3_len_71861_depth_1.17x_circ_blaKPC-2.fasta,batch27_13022020_ENT843_Ctg3_len_71861_depth_1.17x_circ_blaKPC-2,ENT843,E10,5,07/12/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,17,17,blaKPC2,NA,71861,IncU,IncU,MOBP,Surveillance culture,2,11,PC1,Klebsiella pneumoniae,17
batch27_13022020_ENT867_Ctg4_len_71861_depth_1.60x_circ_blaKPC-2.fasta,batch27_13022020_ENT867_Ctg4_len_71861_depth_1.60x_circ_blaKPC-2,ENT867,E100,5,10/12/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,281,281,blaKPC2,NA,71861,IncU,IncU,MOBP,Clinical culture,2,69,PC1,Klebsiella pneumoniae,281
batch27_13022020_ENT782_Ctg4_len_75741_depth_4.56x_circ_blaKPC-2.fasta,batch27_13022020_ENT782_Ctg4_len_75741_depth_4.56x_circ_blaKPC-2,ENT782,E1000,1,10/11/2013,Escherichia coli,Escherichia coli,ecoli,-,-,blaKPC2,NA,75741,IncU,IncU,MOBP,Clinical culture,2,1107,PC1,Escherichia coli,-
batch17_18092019_ENT868_Ctg4_len_75741_depth_2.36x_circ_blaKPC-2.fasta,batch17_18092019_ENT868_Ctg4_len_75741_depth_2.36x_circ_blaKPC-2,ENT868,E1001,1,13/12/2013,Escherichia coli,Escherichia coli,ecoli,-,-,blaKPC2,NA,75741,IncU,IncU,MOBP,Clinical culture,2,1107,PC1,Escherichia coli,-
rbatch6_28102020_ENT926_Ctg5_len_75741_depth_9.26x_circ_blaKPC-2.fasta,rbatch6_28102020_ENT926_Ctg5_len_75741_depth_9.26x_circ_blaKPC-2,ENT926,E1002,4,08/01/2014,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,327,327,blaKPC2,NA,75741,IncU,IncU,MOBP,Clinical culture,2,1107,PC1,Klebsiella pneumoniae,327
batch2_21032019_ENT1079_Ctg2_len_91643_depth_2.11x_circ_blaNDM-1.fasta,batch2_21032019_ENT1079_Ctg2_len_91643_depth_2.11x_circ_blaNDM-1,ENT1079,E983,4,23/03/2014,Escherichia coli,Escherichia coli,ecoli,127,127,blaNDM1,NA,91643,"IncL/M,rep_cluster_1254",IncL/M,MOBP,Clinical culture,5,1094,PC5,Escherichia coli,127
batch6_21062019_ENT586_Ctg4_len_91642_depth_1.73x_circ_blaNDM-1.fasta,batch6_21062019_ENT586_Ctg4_len_91642_depth_1.73x_circ_blaNDM-1,ENT586,E1158,1,22/08/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,307,307,blaNDM1,NA,91642,"IncL/M,rep_cluster_1254",IncL/M,MOBP,Surveillance culture,5,1226,PC5,Klebsiella pneumoniae,307
batch26_31012020_ENT678_Ctg4_len_91642_depth_3.13x_circ_blaNDM-1.fasta,batch26_31012020_ENT678_Ctg4_len_91642_depth_3.13x_circ_blaNDM-1,ENT678,E355,1,08/10/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,147,147,blaNDM1,Cluster_04,91642,"IncL/M,rep_cluster_1254",IncL/M,MOBP,Surveillance culture,5,584,PC5,Klebsiella pneumoniae,147
batch6_21062019_ENT643_Ctg4_len_91642_depth_1.49x_circ_blaNDM-1.fasta,batch6_21062019_ENT643_Ctg4_len_91642_depth_1.49x_circ_blaNDM-1,ENT643,E729,1,18/09/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,307,307,blaNDM1,Cluster_18,91642,"IncL/M,rep_cluster_1254",IncL/M,MOBP,Surveillance culture,5,884,PC5,Klebsiella pneumoniae,307
batch6_21062019_ENT566_Ctg4_len_91642_depth_2.87x_circ_blaNDM-1.fasta,batch6_21062019_ENT566_Ctg4_len_91642_depth_2.87x_circ_blaNDM-1,ENT566,E947,1,10/08/2013,Klebsiella pneumoniae,Klebsiella pneumoniae,kpneumoniae,147,147,blaNDM1,Cluster_04,91642,"IncL/M,rep_cluster_1254",IncL/M,MOBP,Clinical culture,5,1066,PC5,Klebsiella pneumoniae,147
